CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn,Monthly_Tenure_Ratio,Phone_Internet_Both,TotalCharges_Age_Ratio,Uses_Streaming
114,56.0,1,13,0,1,0,1,3,71.88,931.49,0,0,1,0,0,5.134285714285714,0,16.341929824561404,0
2555,69.0,1,13,0,0,1,2,3,110.99,1448.46,1,1,0,0,0,7.9278571428571425,0,20.692285714285713,1
459,46.0,1,60,1,0,1,0,3,116.74,6997.73,1,1,0,0,0,1.9137704918032785,0,148.88787234042553,1
3609,32.0,0,57,1,1,1,0,0,78.16,4452.13,0,1,0,1,0,1.3475862068965516,1,134.9130303030303,1
1053,60.0,1,52,1,1,1,2,2,30.33,1569.73,1,0,1,1,0,0.5722641509433962,1,25.73327868852459,1
225,25.0,0,53,1,1,1,0,0,77.33,4107.57,1,0,1,0,0,1.432037037037037,1,157.98346153846154,1
2040,38.0,1,43,1,1,0,2,3,79.76,3437.48,1,0,0,0,0,1.8127272727272727,1,88.14051282051282,1
2643,56.0,1,42,0,0,1,0,0,98.92,4154.29,0,1,0,0,0,2.30046511627907,0,72.88228070175438,1
575,36.0,0,26,0,1,1,0,2,24.82,662.63,0,0,1,1,0,0.9192592592592592,0,17.908918918918918,0
2344,40.0,1,23,1,1,1,2,3,66.63,1536.62,0,1,0,0,0,2.7762499999999997,1,37.47853658536585,1
2552,28.0,0,43,1,1,1,0,2,112.28,4831.6,1,0,1,1,0,2.5518181818181818,1,166.60689655172416,1
3349,28.0,0,28,1,1,0,2,1,119.13,3338.13,0,0,1,0,0,4.107931034482759,1,115.10793103448276,0
1515,41.0,1,9,0,0,1,2,3,39.14,339.64,0,0,1,0,0,3.914,0,8.086666666666666,0
1475,53.0,0,20,1,1,1,2,1,107.06,2132.26,1,1,0,0,0,5.0980952380952385,1,39.4862962962963,1
3070,57.0,1,56,0,0,1,0,3,34.63,1938.73,0,0,0,0,0,0.6075438596491228,0,33.42637931034483,0
1547,41.0,1,39,0,0,1,1,2,104.12,4060.22,0,0,1,1,0,2.603,0,96.67190476190476,0
1725,20.0,0,51,1,1,1,2,3,47.73,2440.13,1,1,1,0,0,0.9178846153846153,1,116.19666666666667,1
967,39.0,1,12,0,1,1,1,2,115.96,1384.84,1,0,0,0,0,8.92,0,34.620999999999995,1
3004,19.0,0,55,1,0,0,1,1,89.55,4925.96,1,0,0,1,0,1.5991071428571428,0,246.298,1
3672,41.0,1,11,0,1,1,2,1,59.91,659.9,1,0,1,0,0,4.9925,0,15.711904761904762,1
635,61.0,1,26,1,1,1,1,0,48.1,1251.88,0,0,1,0,0,1.7814814814814814,1,20.19161290322581,0
1598,47.0,1,42,1,1,1,2,0,43.52,1828.0,0,1,1,1,0,1.012093023255814,1,38.083333333333336,1
2731,55.0,1,27,1,1,1,0,3,88.08,2364.12,1,0,1,0,0,3.1457142857142855,1,42.21642857142857,1
3006,19.0,1,11,1,0,1,0,1,109.58,1182.77,0,0,0,1,1,9.131666666666666,0,59.1385,0
3488,38.0,0,38,0,1,0,0,2,95.49,3619.2,0,1,0,0,0,2.4484615384615385,0,92.8,1
2692,50.0,0,43,1,1,0,0,0,103.48,4444.33,1,1,0,0,0,2.351818181818182,1,87.14372549019608,1
1236,29.0,0,19,1,0,1,1,2,98.14,1852.88,0,1,0,1,0,4.907,0,61.76266666666667,1
1539,39.0,0,64,0,0,1,0,1,117.91,2132.26,0,1,0,0,0,1.814,0,53.30650000000001,1
1419,61.0,0,6,1,1,1,2,2,95.78,585.58,1,0,0,0,1,13.682857142857143,1,9.44483870967742,1
921,42.0,0,46,0,0,1,0,1,41.02,1894.18,1,1,1,0,0,0.8727659574468086,0,44.05069767441861,1
2170,44.0,1,42,1,1,0,0,3,99.16,4169.38,1,1,1,1,0,2.306046511627907,1,92.6528888888889,1
2606,44.0,1,65,1,0,0,0,2,52.21,3403.5,1,1,0,0,0,0.791060606060606,0,75.63333333333334,1
2706,59.0,0,59,0,1,0,0,3,119.58,7045.97,1,1,1,0,0,1.9929999999999999,0,117.43283333333333,1
1129,45.0,0,52,1,1,1,0,0,57.67,2994.27,1,1,1,1,0,1.0881132075471698,1,65.09282608695652,1
747,33.0,1,47,1,0,1,0,0,69.59,2322.31,0,1,0,1,0,1.4497916666666668,0,68.30323529411764,1
