CustomerID,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Monthly_Tenure_Ratio,Phone_Internet_Both,TotalCharges_Age_Ratio,Uses_Streaming
1554,54.0,0,54,1,1,1,0,0,81.92,4419.83,0,1,1,1,1.4894545454545456,1,80.36054545454546,1
1753,23.0,1,18,0,0,1,0,0,34.24,610.48,0,0,0,0,1.8021052631578949,0,25.436666666666667,0
3479,34.0,0,45,1,1,1,2,0,111.69,5020.23,1,1,0,0,2.4280434782608693,1,143.43514285714284,1
3637,68.0,0,7,1,1,1,2,0,62.67,442.51,0,0,0,0,7.83375,1,6.413188405797102,0
406,44.0,1,26,1,1,1,2,2,62.04,1611.4,1,0,0,0,2.2977777777777777,1,35.80888888888889,1
1836,58.0,0,44,0,0,1,0,2,72.56,3170.31,1,1,1,0,1.6124444444444446,0,53.73406779661017,1
3035,39.0,0,70,0,1,1,0,0,47.73,3341.06,0,0,1,0,0.6722535211267605,0,83.5265,0
2535,50.0,1,34,1,1,1,0,3,67.33,2283.82,0,1,0,1,1.9237142857142857,1,44.78078431372549,1
3260,55.0,0,2,1,0,0,0,1,109.88,225.22,0,0,1,1,36.626666666666665,0,4.0217857142857145,0
298,69.0,0,60,1,1,0,0,2,91.61,5490.32,1,0,1,1,1.5018032786885245,1,78.43314285714285,1
555,45.0,0,50,0,0,0,1,3,69.59,2715.99,0,1,0,1,1.3645098039215686,0,59.04326086956521,1
3120,41.0,1,4,0,0,0,2,2,47.89,189.16,1,1,1,1,9.578,0,4.503809523809524,1
1512,26.0,0,1,1,0,1,0,1,64.85,73.21,1,0,1,0,32.425,0,2.7114814814814814,1
1070,57.0,1,10,1,1,1,0,3,24.63,242.9,0,0,0,0,2.239090909090909,1,4.187931034482759,0
1107,30.0,0,13,0,1,0,0,2,20.74,262.49,0,0,1,0,1.4814285714285713,0,8.467419354838709,0
287,29.0,0,49,1,1,0,0,2,23.46,1159.22,1,0,0,1,0.4692,1,38.64066666666667,1
3406,47.0,0,52,1,1,1,0,2,96.09,4999.32,0,1,1,1,1.8130188679245283,1,104.15249999999999,1
1354,62.0,0,62,0,1,1,0,1,34.53,2146.03,1,1,0,1,0.5480952380952381,0,34.063968253968255,1
1222,54.0,1,51,1,0,1,0,3,75.84,3878.86,0,0,1,0,1.4584615384615385,0,70.52472727272728,0
3615,42.0,0,17,1,1,1,0,2,52.6,893.39,0,0,1,1,2.9222222222222225,1,20.776511627906977,0
505,65.0,1,40,1,1,0,0,0,61.02,2428.63,1,0,0,0,1.4882926829268293,1,36.79742424242424,1
2638,41.0,0,14,1,1,0,0,2,59.9,846.05,1,1,0,1,3.993333333333333,1,20.14404761904762,1
